CÓDIGO,nombre_limpio,cantidad_base,unidad_base,CATEGORÍA
150001765,CARNE VEGETAL 500 G (CAJA 20),500,g,CARNES
104518540,"CARTUCHO DE AGUA BUNN 5,7 L M (UNIDAD)","5,7",l,MAQUINAS Y REPUESTOS
150001944,CAZUELA DE VACUNO PORC IQF NACIONAL 9 KG (CAJA),9,kg,CARNES
104548430,CEBOLLA CARAMELIZADA 1 KG (CAJA 8),1,kg,FRUTAS Y VERDURAS CONGELADAS
104539710,"CEBOLLA CUBOS IQF 2,5 KG ARDO (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104519750,"CEBOLLA CUBOS IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104543280,CEBOLLA EN POLVO 510 G BADIA (CAJA 6),510,g,SALSAS Y CONDIMENTOS
104519740,"CEBOLLA RODAJAS IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
150001689,CEREAL CHOCAPIC NESTLE 30 G (CAJA 60),30,g,ABARROTES
104548960,CEREAL HOJUELA DE CHOCOLATE 8 KG (UNIDAD),8,kg,ABARROTES
104000051,CEREAL MINIPILLOWS CHOCOLATE 2X4 KG (CAJA 2),4,kg,ABARROTES
150001690,CEREAL ZUCOSOS NESTLE 30 G (CAJA 60),30,g,ABARROTES
150001898,CEREZAS AL JUGO CON CAROZO 580 G (CAJA 24),580,g,CONSERVAS
104545160,CHAI LATTE FAS VENDING 1 KG (CAJA 10),1,kg,CAFE Y BEBIDAS CALIENTES
104543850,CHAI LATTE VENDING RISTORA 1KG (CAJA 10),1,kg,CAFE Y BEBIDAS CALIENTES
104321070,"CHAMPINON LAMINADO IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104549450,"CHAMPINON LAMINADO IQF DUJARDIN 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104547040,CHAMPINON LAMINADO IQF MINUTO VERDE 1KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
101500120,"CHAMPINON LAMINADO ZANAFOODS 2,84 KG (CAJA 6)","2,84",kg,CONSERVAS
104534690,CHAMPINON LAMINADO ZANAFOODS 400 G (CAJA 24),400,g,CONSERVAS
101500200,CHAMPINONES ENTEROS ESMERALDA 184 G (CAJA 24),184,g,CONSERVAS
104511970,CHANCACA IANSA 450 G (CAJA 20),450,g,ABARROTES
104538650,CHAPARRITA HOJA CRUDA 160G ARTEMASA (CAJA 15),160,g,PAPAS Y APERITIVOS
104540100,CHEESECAKE FACTORY NINE 14 TROZOS (CAJA 2),,,POSTRES
104538050,CHIRIMOYA CONGELADO 10X1 KG GUALLARAUCO (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104537580,CHOC CHIP COOKIE POPPIES (CAJA 32),,,BOLLERÍA Y PASTELERIA
105045420,CHOCLILLO CAT V VACIO PARAGUAY (CAJA),,,CARNES
104535200,CHOCLITOS COCKTAIL ZANAFOODS 425 G (CAJA 24),425,g,CONSERVAS
104544890,CHOCLO GRANO IQF 1 KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104519650,CHOCLO GRANO IQF ARDO 1 KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104521770,"CHOCLO GRANO IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104540460,CHOCLO TROZO IQF MINUTO VERDE 1 KG (CAJA 12),1,kg,FRUTAS Y VERDURAS CONGELADAS
150001829,CHOCMAN 33 G (CAJA 32),33,g,ABARROTES
108000192,CHOCO KRISPIS 30G X 160UN (CAJA 160),30,g,ABARROTES
108000162,CHOCO KRISPIS 310GR (CAJA 24),310,gr,ABARROTES
150001739,CHOCOLATE COSTANUSS 30 G (CAJA 10),30,g,ABARROTES
104521060,CHOCOLATE EN POLVO LAVAZZA 20 G (CAJA 50),20,g,CAFE Y BEBIDAS CALIENTES
104516290,CHOCOLATE EN POLVO VENDING FAS 1 KG (CAJA 10),1,kg,CAFE Y BEBIDAS CALIENTES
104529600,CHOCOLATE EN POLVO VENDING RISTORA 1 KG (CAJA 10),1,kg,CAFE Y BEBIDAS CALIENTES
104549720,CHOCOLATE VIZZIO 120 GR (CAJA 34),120,gr,ABARROTES
104549140,CHORIZO 1 KG (CAJA 10),1,kg,FIAMBRERIA
104543900,CHORIZO 800 GRS (CAJA 9),800,grs,FIAMBRERIA
104523880,CHORIZO LA ESPANOLA 1 KG (CAJA 5),1,kg,FIAMBRERIA
104549130,CHORIZO SUIZO 1 KG (CAJA 10),1,kg,FIAMBRERIA
104549150,CHORIZO TIPO CHILLAN 1 KG (CAJA 10),1,kg,FIAMBRERIA
104500670,CHUCK ROLL CERTIFIED ANGUS BEEF (CAJA),,,CARNES
201210650,CHUCRUT DON JUAN 1 KG (CAJA 6),1,kg,ACEITUNAS Y ENCURTIDOS
104530140,CHUCRUT TRAVERSO 1 KG (CAJA 6),1,kg,ACEITUNAS Y ENCURTIDOS
105045630,CHULETA CENTRO MARINADA 5 KG 180 220 G (CAJA),5,kg,CARNES
104523640,CHULETA CENTRO MARINADA 5 KG 220 260 G (CAJA),5,kg,CARNES
150001986,CHULETA CERDO CENTRO ENTERA BRASIL 18 KG (CAJA),18,kg,CARNES
150001987,CHULETA CERDO VETADA ENTERA BRASIL 18 KG (CAJA),18,kg,CARNES
104537730,CHULETA CORDERO SARATOGA (CAJA),,,CARNES
104343260,CHULETA VETADA MARINADA 5 KG 180 220 G (CAJA),5,kg,CARNES
104523650,CHULETA VETADA MARINADA 5 KG 220 260 G (CAJA),5,kg,CARNES
150000760,CHUNO 1 KG (CAJA 10),1,kg,ABARROTES
104548170,CHURRASCO DE POSTA INTERFOLIADO 6KG APRX (CAJA),6,kg,CARNES
104531370,CHURRASCO VACUNO FLOW PACK 120 G (CAJA 25),120,g,CARNES
104522520,CHURROS BUCLE AVIKO 1 KG (CAJA 4),1,kg,BOLLERÍA Y PASTELERIA
104524040,CHURROS CLASICO (RECTO) AVIKO 1KG (CAJA 6),1,kg,BOLLERÍA Y PASTELERIA
104543290,CILANTRO EN ESCAMAS 99 G BADIA (CAJA 6),99,g,SALSAS Y CONDIMENTOS
150000761,CIRUELA CON CAROZO 1 KG (CAJA 10),1,kg,ABARROTES
104540010,"CLAMSHELL 15,2 X 22,8 CM CANA DE AZUCAR (CAJA 250)","22,8",cm,EMPAQUES
104513640,COBERTURA CHOCOLATE BLANCO CAROZZI 1 KG (CAJA 10),1,kg,REPOSTERIA
104512560,COBERTURA HELADO CHOCOLATE CAROZZI 4 KG (UNIDAD),4,kg,REPOSTERIA
104512360,COBERTURA MOLDER CHOCOLATE CAROZZI 1 KG (CAJA 10),1,kg,REPOSTERIA
150001225,COCA COLA LATA 6 UDS 350 CC (CAJA 4),350,cc,BEBIDAS
150001224,COCA COLA LIGHT LATA 6 UDS 350 CC (CAJA 4),350,cc,BEBIDAS
150001223,COCA COLA ZERO LATA 6 UDS 350 CC (CAJA 4),350,cc,BEBIDAS
104529530,COCADA CON CHOCOLATE POPPIES 70 G (CAJA 48),70,g,BOLLERÍA Y PASTELERIA
150001793,COCHAYUYO NATURAL SECO 250 G (CAJA 20),250,g,ABARROTES
201701100,COCO RALLADO BOLSA 1K (CAJA 10),1,k,REPOSTERIA
104520080,COCTEL DE FRUTA 3 KG (CAJA 6),3,kg,CONSERVAS
104541890,COCTEL DE FRUTA ZANAFOODS 3 KG (CAJA 6),3,kg,CONSERVAS
150001945,COGOTE CONGELADO IMP (CAJA),,,CARNES
104000024,COLA CAO INSTANTANEO BOLSA 450 G RRP (CAJA 12),450,g,ABARROTES
104300500,"COLIFLOR IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104543300,COMINO EN POLVO 454 G BADIA (CAJA 6),454,g,SALSAS Y CONDIMENTOS
104527950,COMINO MOLIDO 250 G (CAJA 40),250,g,SALSAS Y CONDIMENTOS
201700306,COMINO MOLIDO BOLSA 1KG EDRA (CAJA 10),1,kg,SALSAS Y CONDIMENTOS
104538610,COMPOTA DURAZNO VIVO 90 GRS (CAJA 36),90,grs,ABARROTES
104538600,COMPOTA MANZANA VIVO 90 GRS (CAJA 36),90,grs,ABARROTES
104538590,COMPOTA PERA VIVO 90 GRS (CAJA 36),90,grs,ABARROTES
104525110,CONCENTRADO TOMATE POMAROLA 1 KG (CAJA 10),1,kg,SALSAS Y CONDIMENTOS
150000060,CONCENTRADO TOMATE POMAROLA 3 KG (CAJA 6),3,kg,SALSAS Y CONDIMENTOS
104542770,CORAZONES DE ALCACHOFA DON GIUSEPPE 400G (CAJA 24),400,g,CONSERVAS
104540250,CORBATA CAROZZI 5 KG (CAJA 2),5,kg,ABARROTES
102200081,CORBATA GRANDE DON VITTORIO 400 G NV (CAJA 12),400,g,ABARROTES
104540240,CORBATAS CAROZZI 400 G (DISPLAY 30),400,g,ABARROTES
104540230,CORBATITAS CAROZZI 400 G (DISPLAY 30),400,g,ABARROTES
104527030,CORBATITAS LUCCHETTI 400 G (DISPLAY 30),400,g,ABARROTES
104537710,CORDERO ENTERO CARCASA (CAJA),,,CARNES
104515390,CORDERO GARRON DELANTERO (CAJA),,,CARNES
104515400,CORDERO GARRON TRASERO (CAJA),,,CARNES
108000233,CORN FLAKES 410X18 (CAJA 18),,,ABARROTES
108000140,CORN FLAKES 450 G (CAJA 8),450,g,ABARROTES
104539090,CORONA RESERVA DE TIERRA MAQUINA ESPRESS (UNIDAD),,,CAFE Y BEBIDAS CALIENTES
104545180,CORONA RESERVA DE TIERRA MAQUINA ESPRESS (UNIDAD),,,CAFE Y BEBIDAS CALIENTES
105045700,COSTILLAR BABY BACK 10 KG (CAJA),10,kg,CARNES
104545090,COSTILLAR BABY BACK LAYERPACK (CAJA),,,CARNES
150001984,COSTILLAR CERDO 2UN IVP CJ 20 KG USA (CAJA),2,un,CARNES
105045310,"COSTILLAR ST LOUIS IWP 16 KG 1,0 1,2 KG (CAJA)",16,kg,CARNES
150001768,COUS COUS CAROZZI 250 G (CAJA 14),250,g,ABARROTES
150001112,COUS COUS DIVELLA 500 G (CAJA 12),500,g,ABARROTES
104539060,COVER MOLINILLO SELECTION (CAJA 1) (UNIDAD),,,CAFE Y BEBIDAS CALIENTES
104545170,COVER MOLINILLO SELECTION (CAJA 50),,,CAFE Y BEBIDAS CALIENTES
104537590,CRANBERRY COOKIE POPPIES (CAJA 32),,,BOLLERÍA Y PASTELERIA
101000830,CREMA AJI TARI ALACENA 400 G (CAJA 12) (CAJA 12),400,g,SALSAS Y CONDIMENTOS
150000009,CREMA BATIR UHT NACIONAL 1 L (CAJA 12),1,l,LACTEOS
150000368,CREMA CHAMPINON MACROFOOD 1 KG (CAJA 10),1,kg,ABARROTES
150001186,CREMA CHOCLO MACROFOOD 1 KG (CAJA 10),1,kg,ABARROTES
104539270,CREMA DE COCO COOK THAI 400 ML (CAJA 24),400,ml,ABARROTES
104533730,CREMA DE LECHE NESTLE 12X1L (CAJA 12),1,l,LACTEOS
150000369,CREMA ESPARRAGOS MACROFOOD 1 KG (CAJA 10),1,kg,ABARROTES
104352371,CREMA HUANCAINA ALACENA 400 G (CAJA 12),400,g,SALSAS Y CONDIMENTOS
104533190,CREMA LACTOFIL BKI CSM 1L (CAJA 12),1,l,LACTEOS
104533180,CREMA LACTOFIL MULTIPROPOSITO 35% CSM 1L (CAJA 12),1,l,LACTEOS
104544740,CREMA SPRAY 50%ANI 50%VEG HOPLA 250 ML (CAJA 12),250,ml,LACTEOS
104549170,CREMA SPRAY GRANAROLO 250 G (CAJA 12),250,g,LACTEOS
150000370,CREMA TOMATE MACROFOOD 1 KG (CAJA 10),1,kg,ABARROTES
104549390,CROISSANT CURVO MTQ 100 G (CAJA 46),100,g,BOLLERÍA Y PASTELERIA
104549400,CROISSANT CURVO MTQ LISTO 65 G (CAJA 24),65,g,BOLLERÍA Y PASTELERIA
104515580,CROISSANT PLUS 100 G (CAJA 42),100,g,BOLLERÍA Y PASTELERIA
104549410,CROISSANT RECTO MTQ 70 G (CAJA 70),70,g,BOLLERÍA Y PASTELERIA
104548240,CROISSANT RELLENO JAMON QUESO 145 G (CAJA 20),145,g,PLATOS PREPARADOS
104529290,CROISSANT RELLENO MANJAR PAGNIFIQUE 41G (CAJA 120),41,g,BOLLERÍA Y PASTELERIA
104548250,CROISSANT RELLENO SALAME QUESO 160 G (CAJA 20),160,g,PLATOS PREPARADOS
104547500,CROQUETA CAMARON 20G 50UN (CAJA 8),20,g,PAPAS Y APERITIVOS
104547510,CROQUETA CHAMPINON 20G 50UN (CAJA 8),20,g,PAPAS Y APERITIVOS
104547490,CROQUETA CHORIZO SARTA 20G 50UN (CAJA 8),20,g,PAPAS Y APERITIVOS
104544710,"CROQUETA DE PAPA AVIKO 2,5 KG 22 G (CAJA 4)","2,5",kg,PAPAS Y APERITIVOS
104547520,CROQUETA JAMON IBERICO 20G 50UN (CAJA 8),20,g,PAPAS Y APERITIVOS
104538390,CROQUETA REINETA APANADO FLOWPACK 100 GR (CAJA 60),100,gr,PESCADOS Y MARISCOS
104524490,CUBRE CALZADO TELA 100 UDS (CAJA 10),,,HIGIENE Y LIMPIEZA
105201370,CUBRE VASOS 12 OZ LAVAZZA (CAJA 1000),,,EMPAQUES
104539040,CUCHARA PREMIUM CAPPUCCINO (CAJA 12) (CAJA 12),,,CAFE Y BEBIDAS CALIENTES
104539050,CUCHARA PREMIUM LATTE MACCHIATO CAJA 12 (CAJA 12),,,CAFE Y BEBIDAS CALIENTES
104549050,CUCHILLO DE SIERRA 20 CM UNIV (CAJA 77),20,cm,UTENSILIOS Y SUMINISTROS
104548660,CUCHILLO MEDIO GOLPE 15CM UNIV ACE INOX (CAJA 80),15,cm,UTENSILIOS Y SUMINISTROS
104548670,CUCHILLO MEDIO GOLPE 20CM UNIV ACE INOX (CAJA 66),20,cm,UTENSILIOS Y SUMINISTROS
104548690,CUCHILLO MEDIO GOLPE 25CM UNIV ACE INOX (CAJA 48),25,cm,UTENSILIOS Y SUMINISTROS
104548700,CUCHILLO MEDIO GOLPE 30CM UNIV ACE INOX (CAJA 44),30,cm,UTENSILIOS Y SUMINISTROS
104548650,CUCHILLO VEGETALES 11CM UNIV ACE INOX (CAJA 125),11,cm,UTENSILIOS Y SUMINISTROS
101310038,CURRY EDRA 15 G RRP (CAJA 50),15,g,SALSAS Y CONDIMENTOS
104543310,CURRY EN POLVO 454 G BADIA (CAJA 6),454,g,SALSAS Y CONDIMENTOS
104539600,DELANTAL CORTO LAVAZZA (CAJA 25),,,CAFE Y BEBIDAS CALIENTES
104539110,DELANTAL LARGO LAVAZZA (CAJA 1) (UNIDAD),,,CAFE Y BEBIDAS CALIENTES
104539400,DEPURADOR LA SPAZIALE 12 LITROS (UNIDAD),12,litros,MAQUINAS Y REPUESTOS
104538850,DESENGRASANTE LPU AD CLEAN 5 LTS (CAJA 4),5,lts,HIGIENE Y LIMPIEZA
150002000,DESP QUESO GAUDA VACIO NACIONAL (CAJA),,,QUESOS
150002001,DESP QUESO MOZZARELLA IVP NACIONAL (CAJA),,,QUESOS
104547610,DESPUNTE DE MOLIDA CAB (CAJA),,,CARNES
104547840,DESPUNTE LOMO LISO (CAJA),,,CARNES
104539360,DETERGENTE ASSCOR LA SPAZIALE (CAJA 24),,,MAQUINAS Y REPUESTOS
104549250,DETERGENTE CAFIZA URNEX (CAJA 12),,,MAQUINAS Y REPUESTOS
104549620,DETERGENTE CAFIZA URNEX (CAJA 6),,,MAQUINAS Y REPUESTOS
104534710,DISPENSADOR DE SALSAS 4 L (UNIDAD),4,l,MAQUINAS Y REPUESTOS
104537600,DOBLE CHOC COOKIE POPPIES (CAJA 32),,,BOLLERÍA Y PASTELERIA
105154020,DONUT AZUCAR POPPIES 49 G (CAJA 48),49,g,BOLLERÍA Y PASTELERIA
104543930,DONUT CHOCO PEPITAS 55 G (CAJA 48),55,g,BOLLERÍA Y PASTELERIA
104548610,DONUT RELENA CHERRY 69 G (CAJA 48),69,g,BOLLERÍA Y PASTELERIA
104543880,DONUT RELLENA CARAMELO 68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104254150,DONUT RELLENA CHOCOLATE AVELLANA  68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104548620,DONUT RELLENA COCO 69 G (CAJA 48),69,g,BOLLERÍA Y PASTELERIA
104527850,DONUT RELLENA COOKIES & CREAM  68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104518710,DONUT RELLENA CREMA POPPIES 68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104549350,DONUT RELLENA DULCE LECHE 68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104521710,DONUT RELLENA DULCE LECHE POPPIES 66 G (CAJA 48),66,g,BOLLERÍA Y PASTELERIA
105154770,DONUT RELLENA FRAMBUESA POPPIES 68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104543890,DONUT RELLENA FRUTOS DEL BOSQUE 68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104548630,DONUT RELLENA PISTACHO 69 G (CAJA 48),69,g,BOLLERÍA Y PASTELERIA
104548640,DONUT RELLENA PRALINE 68 G (CAJA 48),68,g,BOLLERÍA Y PASTELERIA
104543920,DONUT ROSA MOSTACILLA 55 G (CAJA 48),55,g,BOLLERÍA Y PASTELERIA
104517800,"DOSIFICADOR SALSA CHOCOLATE 1,89 L MONIN (UNIDAD)","1,89",l,MAQUINAS Y REPUESTOS
104523020,"DOSIFICADOR SALSAS 1,89 L TORANI (UNIDAD)","1,89",l,MAQUINAS Y REPUESTOS
104517780,DOSIFICADOR SYRUP 750 ML MONIN (UNIDAD),750,ml,MAQUINAS Y REPUESTOS
104523030,DOSIFICADOR SYRUP 750 ML TORANI (UNIDAD),750,ml,MAQUINAS Y REPUESTOS
104510620,DULCE DE LECHE HELAD SANTA FE 10 KG (UNIDAD),10,kg,REPOSTERIA
104549470,DULCE DE LECHE REPOST BALDE 3 KG (CAJA 2),3,kg,REPOSTERIA
104510640,DULCE DE LECHE REPOST SANTA FE 10 KG (UNIDAD),10,kg,REPOSTERIA
150001771,DULCE MEMBRILLO PERELLO 1 KG (CAJA 5),1,kg,ABARROTES
150000276,DULCE MEMBRILLO WATT´S 1 KG (CAJA 12),1,kg,ABARROTES
150000270,DURAZNO MITADES REGIMEL 560 G (CAJA 24),560,g,CONSERVAS
104520060,DURAZNO MITADES ZANAFOODS 3 KG (CAJA 6),3,kg,CONSERVAS
104520070,DURAZNO TROCITOS ZANAFOODS 3 KG (CAJA 6),3,kg,CONSERVAS
104549630,DURAZNOS EN CUBITOS REGIMEL 380 GR (CAJA 16),380,gr,CONSERVAS
101500041,DURAZNOS EN MITADES ESMERALDA 425 G (CAJA 24),425,g,CONSERVAS
104547050,EDAMAME EN VAINAS MINUTO VERDE 400 G (CAJA 27),400,g,FRUTAS Y VERDURAS CONGELADAS
101710140,EMBLEM CEYLAN IMP 20 BLS (CAJA 50),,,CAFE Y BEBIDAS CALIENTES
104547440,EMPANADA NAPOLITANA 160 G (CAJA 17),160,g,PAPAS Y APERITIVOS
104544280,EMPANADA NAPOLITANA 160 G (CAJA 18),160,g,PAPAS Y APERITIVOS
104544830,EMPANADA ORIENTAL CAMARON QUESO 50UN (CAJA 2),50,un,PAPAS Y APERITIVOS
104544840,EMPANADA ORIENTAL CARNE MONGOLIANA 50UN (CAJA 2),50,un,PAPAS Y APERITIVOS
104544850,EMPANADA ORIENTAL CHAMPINON QUESO 50UN (CAJA 2),50,un,PAPAS Y APERITIVOS
104544860,EMPANADA ORIENTAL POLLO MANDARIN 50UN (CAJA 2),50,un,PAPAS Y APERITIVOS
104538630,EMPANADA PINO CARNE MOLIDA 180G ARTEMASA (CAJA 30),180,g,PAPAS Y APERITIVOS
104538640,EMPANADA QUESO HOJA 160G ARTEMASA (CAJA 30),160,g,PAPAS Y APERITIVOS
104541830,EMPANADA QUESO MEDIA LUNA CALUSITA 27 G (CAJA 160),27,g,PAPAS Y APERITIVOS
104542810,EMPANADA QUESO MEDIA LUNA CALUSITA 50 G (CAJA 70),50,g,PAPAS Y APERITIVOS
104351690,EMPANADA QUESO RAVIOLERA 21 G (CAJA 192),21,g,PAPAS Y APERITIVOS
104543320,ENELDO MOLIDO 198 G BADIA (CAJA 6),198,g,SALSAS Y CONDIMENTOS
104547100,"ENSALADA RUSA COCIDA 2,5 KG (CAJA 6)","2,5",kg,PAPAS Y APERITIVOS
104500760,ENTRANA CERTIFIED ANGUS BEEF (CAJA),,,CARNES
104520580,ENTRANA CHOICE USA (CAJA),,,CARNES
150001961,ENTRANA FINA CAT V VACIO PARAGUAY (CAJA),,,CARNES
104521750,ENTRANA S PIEL CERTIFIED ANGUS BEEF (CAJA),,,CARNES
104539780,ENTRECOT CAT V CONG CHILE (CAJA),,,CARNES
104538130,ENTRECOT STEAK CERTIFIED ANGUS BEEF (CAJA),,,CARNES
150001919,ESCALOPA KAYSER VACUNO JAMON QUESO 120GR (CAJA 26),120,gr,CARNES
150000990,ESENCIA DE VAINILLA LA PRIMERA 1 L (CAJA 6),1,l,REPOSTERIA
104547480,ESPARRAGOS VERDES ENTERO 425 G (CAJA 24),425,g,CONSERVAS
104320510,ESPARRAGOS VERDES ESMERALDA 425 G (CAJA 24),425,g,CONSERVAS
104519590,"ESPINACA A LA CREMA IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104519580,"ESPINACA IQF ARDO 2,5 KG (CAJA 4)","2,5",kg,FRUTAS Y VERDURAS CONGELADAS
104540310,ESPIRAL CAROZZI 400 G (DISPLAY 30),400,g,ABARROTES
104540190,ESPIRAL CAROZZI 5 KG (CAJA 2),5,kg,ABARROTES
102200082,ESPIRALES DON VITTORIO 400 G NV (CAJA 12),400,g,ABARROTES
150000297,ESPONJA FIBRA VERDE VIRUTEX (CAJA 100),,,HIGIENE Y LIMPIEZA
150000298,ESPONJA LAVALOZA VIRUTEX 4 UDS (CAJA 48),,,HIGIENE Y LIMPIEZA
104538950,ESPRESSO CUCHARA PREMIUM (CAJA 12),,,CAFE Y BEBIDAS CALIENTES
105201430,EXHIBIDOR MINI PORCIONES LAVAZZA (UNIDAD),,,MAQUINAS Y REPUESTOS
104528840,FALAFEL ARDO 1 KG (CAJA 10),1,kg,PAPAS Y APERITIVOS
150001228,FANTA LATA 6 UDS 350 CC (CAJA 4),350,cc,BEBIDAS
102500040,FARFALLE BARILLA 500 G CORBATA (CAJA 12),500,g,ABARROTES
102500080,FARFALLE COLLEZIONE 500G CORBATA (CAJA 12),500,g,ABARROTES
102320340,FERRERO ROCHER T12 150 G (CAJA 9),150,g,ABARROTES
150001309,FETUCCINI 88 CAROZZI 400 G (DISPLAY 25),400,g,ABARROTES
104539280,FIDEOS DE ARROZ 5MM SUREE 400 G (CAJA 30),400,g,ABARROTES
150001831,FIDEOS GRANIZO CAROZZI 250 G (CAJA 48),250,g,ABARROTES
104519810,FILETE 3 4 S CORDON CAT V VACIO BRASIL (CAJA),,,CARNES
104520150,FILETE 4 5 C CORDON CAT V VACIO BRASIL (CAJA),,,CARNES
150001964,FILETE 4 5 S CORDON CAT V VACIO BRASIL (CAJA),,,CARNES
104524300,FILETE 4 5 S CORDON CAT V VACIO PARAGUAY (CAJA),,,CARNES
150001965,FILETE 5 UP C CORDON CAT V VACIO BRASIL (CAJA),,,CARNES
104500540,FILETE CERTIFIED ANGUS BEEF (CAJA),,,CARNES
104539190,FILETE POLLO COCIDA EN CUBO SADIA 2 KG (CAJA 5),2,kg,CARNES
104539180,FILETE POLLO COCIDA EN TIRAS SADIA 2 KG (CAJA 5),2,kg,CARNES
104547180,FILETILLO DE POLLO 2 KG (CAJA 10),2,kg,CARNES
150001931,FILETILLO DE POLLO DESH BRASIL 2 KG (CAJA 6),2,kg,CARNES
104524540,FILETILLO POLLO IQF IMP 1 KG (CAJA 12),1,kg,CARNES
104518560,"FILTRO AGUA CON CARTUCHO 5,7 L MIN BUNN (UNIDAD)","5,7",l,MAQUINAS Y REPUESTOS
104518550,FILTRO BEST PROTECT (UNIDAD),,,MAQUINAS Y REPUESTOS
104544230,FILTRO COFFE CARE VH (UNIDAD),,,MAQUINAS Y REPUESTOS
104522590,FILTRO PAPEL ICBA BUNN (CAJA 500),,,MAQUINAS Y REPUESTOS
104549560,FILTRO PAPEL ICBA BUNN (CAJA 500),,,MAQUINAS Y REPUESTOS
104549550,FILTRO PAPEL TITAN BUNN (CAJA 252),,,MAQUINAS Y REPUESTOS
104522600,FILTRO PAPEL TITAN BUNN (CAJA 500),,,MAQUINAS Y REPUESTOS
150000373,FLAN C LECHE CARAMELO MACROFOOD 1 KG,1,kg,POSTRES
150000001,FLAN C LECHE CHOCOLATE MACROFOOD 1 KG,1,kg,POSTRES
150000372,FLAN C LECHE FRUTILLA MACROFOOD 1 KG,1,kg,POSTRES
150000374,FLAN C LECHE VAINILLA MACROFOOD 1 KG,1,kg,POSTRES
100095080,FLAN EN POLVO CHOCOLATE CARICIA 1 KG,1,kg,POSTRES
100095030,FLAN EN POLVO VAINILLA CARICIA 1 KG,1,kg,POSTRES
104548860,FLAT IRON CAT V VACIO CHILE (CAJA),,,CARNES
104533700,FONDOS ALCACHOFAS EXCELENCIA 907 G (CAJA 6),907,g,CONSERVAS
104547060,FONDOS ALCACHOFAS IQF MINUTO VERDE 1KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
104538840,FOODS AD CLEAN 5 LTS (CAJA 4),5,lts,HIGIENE Y LIMPIEZA
104538040,FRAMBUESA CONGELADO 10X1 KG GUALLARAUCO (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
108000191,FROOT LOOPS 25G X 160UN (CAJA 160),25,g,ABARROTES
104523990,FRUTA LISTA DURAZNO C JUGO DE UVA 113 G (CAJA 48),113,g,CONSERVAS
104510130,FRUTA LISTA DURAZNO C SUCRALOSA 113 G (CAJA 48),113,g,CONSERVAS
104526280,FRUTA LISTA TUTTI FRUTI C JUGO UVA 113 G (CAJA 48),113,g,CONSERVAS
104544000,FRUTILLA IQF 1 KG (CAJA 10),1,kg,FRUTAS Y VERDURAS CONGELADAS
102500041,FUSILLI BARILLA 500G ESPIRAL (CAJA 12),500,g,ABARROTES
104534810,GALLETA AGUA COSTA 175 G (CAJA 25),175,g,ABARROTES
104512290,GALLETA CHAMPANA COSTA 140 G (CAJA 12),140,g,ABARROTES
150000074,GALLETA CHOCOCHIPS COSTA 125 G (CAJA 28),125,g,ABARROTES
150000075,GALLETA CHOCOLATE COSTA 140 G (CAJA 24),140,g,ABARROTES
150000076,GALLETA COCO COSTA 125 G (CAJA 28),125,g,ABARROTES
104512300,GALLETA CRACKELET COSTA 85 G (CAJA 35),85,g,ABARROTES
104543430,GALLETA CRIOLLITA 80 G (CAJA 28),80,g,ABARROTES
150001832,GALLETA DIN DON 115 G (CAJA 35),115,g,ABARROTES
104544790,GALLETA DONUTS BLANCA COSTA 100 G (CAJA 24),100,g,ABARROTES
104522020,GALLETA DONUTS LECHE COSTA 100 G (CAJA 24),100,g,ABARROTES
104543450,GALLETA FRAC CHOCOLATE 110 G (CAJA 36),110,g,ABARROTES
104543440,GALLETA FRAC CLASICA 110 G (CAJA 36),110,g,ABARROTES
150000080,GALLETA GRETEL CHOCOLATE COSTA 85 G (CAJA 24),85,g,ABARROTES
150000409,GALLETA KUKY CLASICA 120 G (CAJA 30),120,g,ABARROTES
